# U nd md
25.513653971 0.232653061224 0.0312039423484
26.1850659176 0.232653061224 0.0319962137638
26.8564778642 0.232653061224 0.0622512602726
27.5278898108 0.232653061224 0.0636005977822
28.1993017574 0.232653061224 0.0649372871594
28.870713704 0.232653061224 0.0662612815719
29.5421256506 0.232653061224 0.0932305177316
30.2135375972 0.232653061224 0.0947657971166
30.8849495438 0.232653061224 0.0962753568049
31.5563614904 0.232653061224 0.0977595556503
32.227773437 0.232653061224 0.0992187611582
32.8991853836 0.232653061224 0.100653348045
19.4709464515 0.265306122449 0.0306937669826
20.1423583981 0.265306122449 0.0317243801925
20.8137703447 0.265306122449 0.0629211306073
21.4851822913 0.265306122449 0.0647362381928
22.1565942379 0.265306122449 0.0935735602483
22.8280061846 0.265306122449 0.0957859422015
23.4994181312 0.265306122449 0.097958267204
24.1708300778 0.265306122449 0.12277645368
24.8422420244 0.265306122449 0.124990701144
25.513653971 0.265306122449 0.127149084674
26.1850659176 0.265306122449 0.129253099443
26.8564778642 0.265306122449 0.131304229828
27.5278898108 0.265306122449 0.133303944753
28.1993017574 0.265306122449 0.135253693737
28.870713704 0.265306122449 0.154883812975
29.5421256506 0.265306122449 0.15666312587
30.2135375972 0.265306122449 0.158391229737
30.8849495438 0.265306122449 0.16007003894
31.5563614904 0.265306122449 0.161701391839
32.227773437 0.265306122449 0.163287052859
32.8991853836 0.265306122449 0.164828714711
16.1138867185 0.297959183673 0.0613814064941
16.7852986651 0.297959183673 0.0637325106043
17.4567106117 0.297959183673 0.0941448223095
18.1281225583 0.297959183673 0.0971146677482
18.7995345049 0.297959183673 0.124580420079
19.4709464515 0.297959183673 0.127716834027
20.1423583981 0.297959183673 0.130766294868
20.8137703447 0.297959183673 0.154079273458
21.4851822913 0.297959183673 0.156966943205
22.1565942379 0.297959183673 0.159756526762
22.8280061846 0.297959183673 0.162451972565
23.4994181312 0.297959183673 0.165057103185
24.1708300778 0.297959183673 0.167575610088
24.8422420244 0.297959183673 0.185764000374
25.513653971 0.297959183673 0.1879890673
26.1850659176 0.297959183673 0.190134114566
26.8564778642 0.297959183673 0.192202989036
27.5278898108 0.297959183673 0.194199326798
28.1993017574 0.297959183673 0.196126564068
28.870713704 0.297959183673 0.197987947873
29.5421256506 0.297959183673 0.199786546436
30.2135375972 0.297959183673 0.201525259212
30.8849495438 0.297959183673 0.214454055175
31.5563614904 0.297959183673 0.215945001811
32.227773437 0.297959183673 0.217385654697
32.8991853836 0.297959183673 0.218778408483
13.4282389321 0.330612244898 0.0623528898745
14.0996508787 0.330612244898 0.0939647070784
14.7710628253 0.330612244898 0.123488276507
15.4424747719 0.330612244898 0.12774231286
16.1138867185 0.330612244898 0.154176983022
16.7852986651 0.330612244898 0.158328860592
17.4567106117 0.330612244898 0.16232410425
18.1281225583 0.330612244898 0.184589477681
18.7995345049 0.330612244898 0.18820321461
19.4709464515 0.330612244898 0.191662179427
20.1423583981 0.330612244898 0.194974646886
20.8137703447 0.330612244898 0.198148459501
21.4851822913 0.330612244898 0.215473562485
22.1565942379 0.330612244898 0.218216326668
22.8280061846 0.330612244898 0.220839810276
23.4994181312 0.330612244898 0.22335104258
24.1708300778 0.330612244898 0.225756566113
24.8422420244 0.330612244898 0.228062471531
25.513653971 0.330612244898 0.230274430505
26.1850659176 0.330612244898 0.232397726581
26.8564778642 0.330612244898 0.234437283996
27.5278898108 0.330612244898 0.246498858954
28.1993017574 0.330612244898 0.248231013347
28.870713704 0.330612244898 0.249895559218
29.5421256506 0.330612244898 0.251496240807
30.2135375972 0.330612244898 0.253036541901
30.8849495438 0.330612244898 0.254519707005
31.5563614904 0.330612244898 0.255948760602
32.227773437 0.330612244898 0.257326524703
32.8991853836 0.330612244898 0.258655634822
11.4140030923 0.363265306122 0.0631324085831
12.0854150389 0.363265306122 0.123088482484
12.7568269855 0.363265306122 0.128538808079
13.4282389321 0.363265306122 0.157862885479
14.0996508787 0.363265306122 0.183755368164
14.7710628253 0.363265306122 0.188980890989
15.4424747719 0.363265306122 0.193955816718
16.1138867185 0.363265306122 0.215534095156
16.7852986651 0.363265306122 0.219881594202
17.4567106117 0.363265306122 0.224004564462
18.1281225583 0.363265306122 0.227917926227
18.7995345049 0.363265306122 0.231635539474
19.4709464515 0.363265306122 0.248111047398
20.1423583981 0.363265306122 0.251259977243
20.8137703447 0.363265306122 0.254250598694
21.4851822913 0.363265306122 0.257093828234
22.1565942379 0.363265306122 0.259799676807
22.8280061846 0.363265306122 0.26237733194
23.4994181312 0.363265306122 0.264835232681
