#U Delta_sdw
0.15 8.37960296236e-05
0.175862068966 0.000475179953103
0.201724137931 0.00135531145411
0.227586206897 0.00276019409287
0.253448275862 0.00468421681058
0.279310344828 0.00718057250822
0.305172413793 0.0103387029064
0.331034482759 0.014233426813
0.356896551724 0.0189128092043
0.38275862069 0.0244065089061
0.408620689655 0.0307324718836
0.434482758621 0.0378997621985
0.460344827586 0.0459101251537
0.486206896552 0.0547592493026
0.512068965517 0.0644378676444
0.537931034483 0.0749327121694
0.563793103448 0.0862273320186
0.589655172414 0.0983027885208
0.615517241379 0.111138241449
0.641379310345 0.124711440589
0.66724137931 0.138999135758
0.693103448276 0.153977417094
0.718965517241 0.169621996104
0.744827586207 0.185908436544
0.770689655172 0.202812343001
0.796551724138 0.220309513873
0.822413793103 0.238376064458
0.848275862069 0.256988525013
0.874137931034 0.276123917855
0.9 0.295759816974
