#iter#, mu-muprime, m-mprime
#occupation n= 1.35 U= 6.0 T= 0.01
9 -7.69827879248e-05 7.92481260035e-47
#occupation n= 1.35 U= 6.0 T= 1.86508474576
9 -7.74717066934e-05 3.09562992201e-49
#occupation n= 1.35 U= 6.0 T= 1.89881355932
9 -7.79459148079e-05 1.20923043829e-51
#occupation n= 1.35 U= 6.0 T= 1.93254237288
9 -7.84057821042e-05 4.72355639955e-54
#occupation n= 1.35 U= 6.0 T= 1.96627118644
9 -7.88516874168e-05 1.84513921858e-56
#occupation n= 1.35 U= 6.0 T= 2.0
9 -7.92840151824e-05 7.20757507256e-59
