#U Delta_sdw
0.15 8.37960296236e-05
0.405263157895 0.0298637983612
0.660526315789 0.135221998427
0.915789473684 0.307984751526
1.17105263158 0.526593614305
1.42631578947 0.77388077553
1.68157894737 1.0382527338
1.93684210526 1.31228424668
2.19210526316 1.59134144801
2.44736842105 1.87258789323
2.70263157895 2.15432351502
2.95789473684 2.43555893808
3.21315789474 2.71574548133
3.46842105263 2.99460523877
3.72368421053 3.27202460801
3.97894736842 3.54798777656
4.23421052632 3.82253530335
4.48947368421 4.0957384512
4.74473684211 4.36768340782
5.0 4.63846171641
